q_m3_s,k_m2,L_m,t_life_s,R_th,R_pr,R_ze,c_CO2,COP,c_CO2_heat,heat_per_m3
0.013888888888888888,1.0e-12,1000.0,2.255901282941059e9,0.8445354503851077,0.7027088147101038,0.6484537387553824,0.012056683545493652,38.971675391048194,0.0014112813844444961,155750.90711462538
0.027777777777777776,2.0e-14,500.0,5.2881675724369246e8,-1.489600659791012,-8.392551039054569,-10.948002574794574,0.5678781190533346,0.8303991056944046,0.06623321198546733,154381.6639690382
0.027777777777777776,2.0e-14,650.0,7.145978029662046e8,-1.7122087135806772,-9.273157810434322,-12.07077620830376,0.6216929773043196,0.757309489541534,0.07262552596996552,154986.88886600762
0.027777777777777776,2.0e-14,800.0,8.882970877797947e8,-1.9307034992801406,-10.132813446093177,-13.166837143768802,0.6742274883723608,0.6971928803653511,0.07888778205993477,155627.71653707785
0.027777777777777776,2.0e-14,900.0,1.014164745079623e9,-2.093237526985916,-10.770749875819991,-13.980206091670489,0.7132124924112216,0.6591843553909712,0.08343644619323337,155522.03361709492
0.027777777777777776,2.0e-14,1000.0,1.1279506414705296e9,-2.2419394010262406,-11.353836351726976,-14.723641348451894,0.7488455548277595,0.627434575966892,0.08765854179337128,155767.4288726441
0.027777777777777776,5.0e-14,500.0,5.2881675724369246e8,-0.09104967262493713,-2.9294612454370004,-3.9825630879321756,0.23402263166559448,2.0150422155722443,0.02729471351764249,154381.66396877376
0.027777777777777776,5.0e-14,650.0,7.145978029662046e8,-0.17391375573225903,-3.2641931313389088,-4.409346242457109,0.2544784691373777,1.8501132645519633,0.029727909665746427,154986.88886587022
0.027777777777777776,5.0e-14,800.0,8.882970877797947e8,-0.257796805135231,-3.5980216720896356,-4.834977631914286,0.27487910218325545,1.710084909715393,0.032162145685007866,155627.7165371005
0.027777777777777776,5.0e-14,900.0,1.014164745079623e9,-0.32117203399551003,-3.848619043826233,-5.1544892808784475,0.2901933860116031,1.6200869479774314,0.03394879519809956,155522.0336171581
0.027777777777777776,5.0e-14,1000.0,1.1279506414705296e9,-0.3793831598558156,-4.078226034654984,-5.447238194185104,0.30422492434002674,1.5444217602404589,0.03561203384717706,155767.42887252837
0.027777777777777776,1.0e-13,500.0,5.2881675724369246e8,0.37513398976327533,-1.108431314232912,-1.6607499256469627,0.12273746920312238,3.8420662025017367,0.014315214028375435,154381.6639684183
0.027777777777777776,1.0e-13,650.0,7.145978029662046e8,0.3388512302186885,-1.2612049049680527,-1.8555362538342672,0.13207363308138098,3.5647841307108172,0.015428704230972045,154986.8888660021
0.027777777777777776,1.0e-13,800.0,8.882970877797947e8,0.2998387595831634,-1.4197577474086238,-2.0576911279459953,0.1417629734527492,3.3158630437097503,0.016586933559977982,155627.71653803124
0.027777777777777776,1.0e-13,900.0,1.014164745079623e9,0.2695164636695233,-1.5412420998221645,-2.2125836772732597,0.14918701721135447,3.1513366635716804,0.01745291153299495,155522.03361701197
0.027777777777777776,1.0e-13,1000.0,1.1279506414705296e9,0.24146892053502675,-1.6530225956282218,-2.355103809425983,0.15601804751061354,3.011520786571079,0.01826319786509694,155767.4288723186
0.027777777777777776,2.0e-13,500.0,5.2881675724369246e8,0.608225820958521,-0.1979163486264213,-0.4998433444986871,0.06709488797161463,7.028336978604867,0.007825464283717023,154381.66396829512
0.027777777777777776,2.0e-13,650.0,7.145978029662046e8,0.5952337231946606,-0.25971079178070583,-0.5786312595203998,0.07087121505326535,6.64323295345839,0.008279101513573695,154986.88886610937
0.027777777777777776,2.0e-13,800.0,8.882970877797947e8,0.5786565419370074,-0.33062578508881457,-0.6690478759882384,0.07520490908876089,6.250477666085243,0.008799327497549036,155627.7165376559
0.027777777777777776,2.0e-13,900.0,1.014164745079623e9,0.564860712500823,-0.38755362782493324,-0.7416308754767899,0.07868383281152369,5.975033247209011,0.009204969700493459,155522.03361713793
0.027777777777777776,2.0e-13,1000.0,1.1279506414705296e9,0.5518949607280765,-0.4404208761239687,-0.80903661705806,0.08191460909646475,5.735870540580143,0.009588779874107329,155767.42887146331
0.027777777777777776,5.0e-13,500.0,5.2881675724369246e8,0.7480809196737078,0.3483926307302307,0.19670060418104413,0.033709339233152565,13.98916421784621,0.003931614436967977,154381.66396708228
0.027777777777777776,5.0e-13,650.0,7.145978029662046e8,0.7490632189773831,0.34118567612073597,0.18751173705393837,0.03414976423706614,13.786742070195553,0.003989339883198371,154986.88886550008
0.027777777777777776,5.0e-13,800.0,8.882970877797947e8,0.745947211345696,0.3228533922896617,0.16413807516931872,0.03527007047118734,13.327634404014873,0.004126763860166479,155627.71653419078
0.027777777777777776,5.0e-13,900.0,1.014164745079623e9,0.742067261795067,0.3046594553564562,0.1409408055794817,0.036381922172661,12.922311109361967,0.004256204601060374,155522.03361340283
0.027777777777777776,5.0e-13,1000.0,1.1279506414705296e9,0.7381505848482505,0.28714015559520684,0.1186036983838887,0.03745254604695958,12.545251064334403,0.004384129079438082,155767.42887287188
0.027777777777777776,1.0e-12,500.0,5.2881675724369246e8,0.7946992859145524,0.5304956238582661,0.42888192041928935,0.02258082298643929,20.88344975247272,0.0026336644879990517,154381.66396777038
0.027777777777777776,1.0e-12,650.0,7.145978029662046e8,0.800339717579553,0.5414844987838254,0.4428927359493775,0.02190928062987733,21.489249201780186,0.0025594193395757983,154986.88887135225
0.027777777777777776,1.0e-12,800.0,8.882970877797947e8,0.8017107678245616,0.5406797847836776,0.44186672559918894,0.021958457596553033,21.407086657523173,0.002569242647535654,155627.71654107238
0.027777777777777776,1.0e-12,900.0,1.014164745079623e9,0.8011361115585379,0.5353971497460104,0.4351313659261632,0.022281285293299365,21.100152477306217,0.0026066162346056023,155522.03360862602
0.027777777777777776,1.0e-12,1000.0,1.1279506414705296e9,0.8002357928881679,0.5296604995007117,0.4278171368634075,0.022631858363845393,20.760628031548777,0.0026492454812262686,155767.42887522356
0.041666666666666664,2.0e-14,500.0,3.525445048291284e8,-2.6752686083825017,-13.024069200009153,-16.853188230011668,0.8509153400005592,0.554176271200787,0.09924640021274495,154389.01848403367
0.041666666666666664,2.0e-14,650.0,4.763985353108032e8,-3.0142214654650266,-14.359146968648755,-18.555412385027164,0.9325034258618682,0.5048843843652837,0.10893583105990363,154993.69152911895
0.041666666666666664,2.0e-14,800.0,5.921980585198631e8,-3.3447887443225,-15.656585260321672,-20.20964620691013,1.0117913214641021,0.4645818493464102,0.11838602837664856,155633.87139330423
